id,smiles,dG,code,train_test,3,smiles_len
762_,C12=C(C=C(O1)C(C)(C)O)C1=C(C(=C2)O)C(=O)C=C(O1)C1=CC=CC=C1,,chembl_27,pred,,58
763_,C12=C(C=C(O1)C(C)(C)O)C1=C(C=C2)C(=O)C=C(O1)C1=CC=CC=C1,,chembl_27,pred,,55
764_,C12=C(C=CO1)C1=C(C=C2)C(=O)C=C(O1)C1=CC=CC=C1,,chembl_27,pred,,45
765_,C12=C(C=CO1)C1=C(C(=C2)O)C(=O)C=C(O1)C1=CC=CC=C1,,chembl_27,pred,,48
766_,C12=CC3=C(C(=C1C=CO2)OC)C(=O)C=C(O3)C1=CC=CC=C1,,chembl_27,pred,,47
767_,C12=CC=C3C(=C1C=CC(O2)(C)C)OC(=CC3=O)C1=CC=CC=C1,,chembl_27,pred,,48
768_,C12=CC(=C3C(=C1C=CC(O2)(C)C)OC(=CC3=O)C1=CC=CC=C1)O,,chembl_27,pred,,51
769_,C12=CC(=C3C(=C1C=CC(O2)(C)C)OC(=CC3=O)C1=CC=CC=C1)OC,,chembl_27,pred,,52
770_,C12=CC3=C(C(=C1C=CC(O2)(C)C)O)C(=O)C=C(O3)C1=CC=CC=C1,,chembl_27,pred,,53
771_,C12=CC3=C(C(=C1C=CC(O2)(C)C)OC)C(=O)C=C(O3)C1=CC=CC=C1,,chembl_27,pred,,54
772_,C1(=CC=C2C(=C1OC)OC=C(C2=O)C1=CC=C(C=C1)OC)O,,chembl_27,pred,,44
773_,C12=C(C(=O)C[C@H](O1)C1=CC=CC=C1)C=CC(=C2CC=C(C)C)OCC=C(C)C,,chembl_27,pred,,59
774_,C12=C(C(=O)C[C@H](O1)C1=CC=CC=C1)C(=CC(=C2CC=C(C)C)OCC=C(C)C)O,,chembl_27,pred,,62
775_,C12=C(C(=O)C[C@](O1)(C1=CC=CC=C1)OC)C(=C1C(=C2)OC(C=C1)(C)C)OC,,chembl_27,pred,,62
776_,C12=C(C(=O)C[C@H](O1)C1=CC=CC=C1)C=CC1=C2C=CC(O1)(C)C,,chembl_27,pred,,53
777_,C12=C(C(=O)C[C@H](O1)C1=CC=CC=C1)C(=CC1=C2C=CC(O1)(C)C)O,,chembl_27,pred,,56
778_,C1=CC(=CC=C1)/C=C/C(=O)C1=CC=C2C(=C1OC)C=CO2,,chembl_27,pred,,44
779_,C1=CC(=CC=C1)/C=C/C(=O)C1=CC=C2C(=C1O)C=CC(O2)(C)C,,chembl_27,pred,,50
780_,C(C(=O)C1=CC=C2C(=C1OC)C=CO2)CC1=CC=CC=C1,,chembl_27,pred,,41
781_,C(C(=O)C1=CC=C2C(=C1OC)C=CO2)[C@@H](C1=CC=CC=C1)OC,,chembl_27,pred,,50
782_,C1(=CC=C2C(=C1OC)C=CC(O2)(C)C)C(=O)C[C@@H](C1=CC=CC=C1)OC,,chembl_27,pred,,57
783_,C1=CC(=CC=C1)/C(=C/C(=O)C1=CC=C2C(=C1OC)C=CO2)/O,,chembl_27,pred,,48
784_,C1=CC(=CC=C1)/C(=C/C(=O)C1=C(C=C2C(=C1OC)C=CO2)OC)/O,,chembl_27,pred,,52
785_,C1=CC(=CC=C1)/C(=C/C(=O)C1=CC=C2C(=C1O)C=CC(O2)(C)C)/O,,chembl_27,pred,,54
786_,C1=CC(=CC=C1)/C(=C/C(=O)C1=CC=C2C(=C1OC)C=CC(O2)(C)C)/O,,chembl_27,pred,,55
787_,C1=CC(=CC=C1)/C(=C/C(=O)C1=C(C=C2C(=C1OC)C=CC(O2)(C)C)OC)/O,,chembl_27,pred,,59
788_,C12=CC=C3C(=C1C[C@@H](O2)C(=C)C)O[C@H]1[C@@](C3=O)(C2=CC(=C(C=C2OC1)OC)OC)O,,chembl_27,pred,,75
789_,C12=CC(=C3C(=C1C[C@@H](O2)C(=C)C)O[C@H]1[C@@](C3=O)(C2=CC(=C(C=C2OC1)OC)OC)O)O,,chembl_27,pred,,78
790_,C12=C(C3=C(C=C1)C(=O)[C@@]1([C@H](O3)COC3=C1C=C(C(=C3)OC)OC)O)C=CC(O2)(C)C,,chembl_27,pred,,74
791_,C12=C(C=C(C=C1)OC)O[C@@H]1[C@H]2COC2=C1C=CC(=C2)O,,chembl_27,pred,,49
792_,C12=C(C=C3C(=C1)OCO3)O[C@@H]1[C@H]2COC2=C1C=CC(=C2)O,,chembl_27,pred,,52
793_,C1(=CC2=C(C(=C1)O)C(=O)[C@]1([C@@H](O2)COC2=C1C=C(C(=C2)OC)OC)O)O,,chembl_27,pred,,65
794_,C1(=CC2=C(C(=C1)O)C(=O)[C@]1([C@@H](O2)COC2=C1C=C(C(=C2)OC)O)O)OC,,chembl_27,pred,,65
795_,C1(=CC2=C(C(=C1)O)C(=O)[C@]1([C@@H](O2)COC2=C1C=C(C(=C2)O)OC)O)OC,,chembl_27,pred,,65
796_,C1(=CC2=C(C(=C1)O)C(=O)[C@]1([C@@H](O2)COC2=C1C=C(C(=C2)OC)OC)O)OC,,chembl_27,pred,,66
797_,C1(=CC(=C2C(=C1)O[C@H]1[C@@H](C2=O)C2=CC(=C(C=C2OC1)OC)OC)O)OC,,chembl_27,pred,,62
798_,C12=C(C3=C(C(=C1)O)C(=O)[C@@H]1[C@H](O3)COC3=C1C=C(C(=C3)OC)OC)C=CC(O2)(C)C,,chembl_27,pred,,75
799_,C12=C(C3=C(C(=C1)O)C(=O)[C@@]1([C@H](O3)COC3=C1C=C(C(=C3)OC)OC)O)C=CC(O2)(C)C,,chembl_27,pred,,77
800_,C1(=CC2=C(C(=C1)O)C(=O)C1=C(O2)COC2=CC(=C(C=C12)OC)OC)OC,,chembl_27,pred,,56
