id,smiles,dG,code,train_test,3,smiles_len
0_,C1=CC(=CC=C1O)O,-12.21,labeled_pubchem,train,,15
1_,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,-4.62,labeled_pubchem,train,,34
2_,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O,-5.39,labeled_pubchem,train,test,43
3_,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O,-9.61,labeled_pubchem,train,,52
4_,CC1=C(SC=N1)CCO,-3.48,labeled_pubchem,train,,15
5_,CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3,-8.65,labeled_pubchem,train,,37
6_,C[N+](C)(CC=C)C1=CC=C(C=C1)CCC(=O)CCC2=CC=C(C=C2)[N+](C)(C)CC=C,-10.27,labeled_pubchem,train,,63
7_,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,-9.89,labeled_pubchem,train,test,28
8_,CCOC1=CC2=C(C3=C(C=C(C=C3)N)N=C2C=C1)N,-8.64,labeled_pubchem,train,,38
9_,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl,-12.07,labeled_pubchem,train,,68
10_,CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C,-9.52,labeled_pubchem,train,test,32
11_,C[N+](C)(C)CCOC(=O)N,-8.4,labeled_pubchem,train,,20
12_,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,-8.72,labeled_pubchem,train,,32
13_,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5,-8.52,labeled_pubchem,train,,56
14_,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,-10.5,labeled_pubchem,train,,32
15_,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,-10.82,labeled_pubchem,train,,51
16_,CC[N+](C)(C)C1=CC(=CC=C1)O,-8.63,labeled_pubchem,train,,26
17_,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31,-4.92,labeled_pubchem,train,,38
18_,CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC,-10.44,labeled_pubchem,train,,66
19_,CCC1=CC2CC(C1)C3=C(C4=C(C=C(C=C4)Cl)N=C3C2)N,-14.49,labeled_pubchem,train,,44
20_,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2,-9.53,labeled_pubchem,train,,44
21_,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,-7.28,labeled_pubchem,train,,35
22_,C1CCN(C1)CC#CCN2CCCC2=O,-9.99,labeled_pubchem,train,,23
23_,C1=CC(=O)C=CC1=O,-8.24,labeled_pubchem,train,test,16
